l,cl
318,4.038448994705269e-07
319,4.0075118974685416e-07
320,4.003264570468428e-07
321,4.0543333098663293e-07
322,3.999394574829733e-07
323,3.9500108598328063e-07
324,3.924348040324105e-07
325,3.860589967428219e-07
326,3.876093780561401e-07
327,3.825509845105636e-07
328,3.851603741348531e-07
329,3.8061842715677107e-07
330,3.7598593230823956e-07
331,3.8080879688463576e-07
332,3.7136441899769385e-07
333,3.713367657712176e-07
334,3.6646554858603935e-07
335,3.7821701298327933e-07
336,3.707841422453853e-07
337,3.7080178688155423e-07
338,3.6631626915456687e-07
339,3.644746402865185e-07
340,3.649038359765267e-07
341,3.6119911476323004e-07
342,3.61390996926968e-07
343,3.591221562674081e-07
344,3.640181912291529e-07
345,3.539281642469731e-07
346,3.5281208675861683e-07
347,3.523200729650978e-07
348,3.428239178062042e-07
349,3.5017859776867395e-07
350,3.4985386326093174e-07
351,3.4901722883665975e-07
352,3.4117328900792923e-07
353,3.430609312742481e-07
354,3.4337038948681855e-07
355,3.3813433507780027e-07
356,3.401782625405229e-07
357,3.3594762285624114e-07
358,3.367306929610385e-07
359,3.29425188935583e-07
360,3.309847850413269e-07
361,3.293216152412174e-07
362,3.3250237472421383e-07
363,3.34528609016395e-07
364,3.290007136404661e-07
365,3.276512668515575e-07
366,3.2219447522260617e-07
367,3.291847024611396e-07
368,3.315610119173426e-07
369,3.274850084982268e-07
370,3.25087689014343e-07
371,3.163002411223463e-07
372,3.197519676270543e-07
373,3.2258611711285356e-07
374,3.157418978754987e-07
375,3.157612641507909e-07
376,3.154720309317487e-07
377,3.154956575654308e-07
378,3.158355506494715e-07
379,3.1241983708234905e-07
380,3.130370350690447e-07
381,3.084451123675719e-07
382,3.13039560275004e-07
383,3.051778860694001e-07
384,3.068520941023886e-07
385,3.0595087199372396e-07
386,3.0742569013355336e-07
387,3.090658878456827e-07
388,3.023643509806955e-07
389,3.0597964338852657e-07
390,2.989668089968468e-07
391,2.9700590264316445e-07
392,3.024629507487733e-07
393,2.973466022040762e-07
394,2.942450641436424e-07
395,2.956900728264383e-07
396,2.9911725957714983e-07
397,2.94066210915727e-07
398,2.961218099004498e-07
399,2.900721057075651e-07
400,2.883878759571556e-07
401,2.8852943717443826e-07
402,2.891602829101115e-07
403,2.86570388213522e-07
404,2.8505578933010283e-07
405,2.8345454203494416e-07
406,2.8104840608162923e-07
407,2.873684885640335e-07
408,2.792228783601362e-07
409,2.7740609982880044e-07
410,2.756401253783581e-07
411,2.7948507875287646e-07
412,2.755483680148005e-07
413,2.7615906074978746e-07
414,2.764354961939729e-07
415,2.7445593069309084e-07
416,2.695905197849053e-07
417,2.706768272172702e-07
418,2.73121669625934e-07
419,2.7456712284692145e-07
420,2.667837442964027e-07
421,2.6468089589621637e-07
422,2.6639082618737446e-07
423,2.701430605647538e-07
424,2.651082235756415e-07
425,2.587900435582647e-07
426,2.628006026357863e-07
427,2.607321792442627e-07
428,2.6114149790612985e-07
429,2.5949653012443843e-07
430,2.581927061461003e-07
431,2.52353205756848e-07
432,2.536784114362306e-07
433,2.531599401035017e-07
434,2.4944972596353233e-07
435,2.544655904761727e-07
